wavenumber_cm-1,intensity
500.0,4.4928264971427033e-72
501.75087543771883,1.068915047034907e-73
503.5017508754377,2.437308532712452e-75
505.25262631315655,5.326250674644389e-77
507.00350175087544,1.115517712669607e-78
508.7543771885943,2.23910837323378e-80
510.50525262631317,4.3074230972837925e-82
512.256128064032,7.941521683588287e-84
514.0070035017509,1.403245617793863e-85
515.7578789394697,2.376333761712077e-87
517.5087543771886,3.856780804739492e-89
519.2596298149075,5.999102064101348e-91
521.0105052526263,8.943166566655644e-93
522.7613806903452,1.2777331615084913e-94
524.512256128064,1.7496501572015577e-96
526.2631315657829,2.9137588768126816e-98
528.0140070035018,4.92709497485412e-97
529.7648824412206,3.761728196410557e-95
531.5157578789394,2.7541157731796203e-93
533.2666333166583,1.9325057188770214e-91
535.0175087543772,1.2995804161364262e-89
536.768384192096,8.375857955219725e-88
538.5192596298149,5.173675957445776e-86
540.2701350675337,3.062759669311361e-84
542.0210105052527,1.7376823512343792e-82
543.7718859429715,9.448690768674692e-81
545.5227613806903,4.923984266734781e-79
547.2736368184092,2.4592656985328154e-77
549.0245122561281,1.1771668491082062e-75
550.7753876938469,5.400256260407371e-74
552.5262631315658,2.3742939724765943e-72
554.2771385692846,1.0004569049348471e-70
556.0280140070035,4.040229701611189e-69
557.7788894447224,1.5637146433468733e-67
559.5297648824412,5.800330287899476e-66
561.28064032016,2.0620145265312836e-64
563.0315157578789,7.025455572768e-63
564.7823911955978,2.2940402740282788e-61
566.5332666333167,7.179122426218423e-60
568.2841420710355,2.1532053781232515e-58
570.0350175087544,6.18932556142279e-57
571.7858929464733,1.705080838732367e-55
573.5367683841921,4.5018435230452095e-54
575.2876438219109,1.1391465316342764e-52
577.0385192596298,2.762565373052957e-51
578.7893946973487,6.420802488146096e-50
580.5402701350675,1.430243005351359e-48
582.2911455727864,3.053332703726279e-47
584.0420210105052,6.247153847025723e-46
585.7928964482242,1.2249942448072035e-44
587.543771885943,2.302129077794043e-43
589.2946473236618,4.1463796798174906e-42
591.0455227613807,7.157349745844016e-41
592.7963981990995,1.1840749322368537e-39
594.5472736368184,1.8773701534532816e-38
596.2981490745373,2.8527545483916884e-37
598.0490245122561,4.1545374567348716e-36
599.799899949975,5.798621030378188e-35
601.5507753876939,7.756584870739524e-34
603.3016508254127,9.943977806586851e-33
605.0525262631315,1.2217814272262748e-31
606.8034017008504,1.4387014013801205e-30
608.5542771385693,1.62364690626763e-29
610.3051525762882,1.7561284840892514e-28
612.056028014007,1.820391336488704e-27
613.8069034517258,1.8084937318524412e-26
615.5577788894448,1.7219202396251187e-25
617.3086543271636,1.571277272647034e-24
619.0595297648824,1.3741571498214016e-23
620.8104052026013,1.1517646631520866e-22
622.5612806403201,9.25198400208559e-22
624.312156078039,7.122783949216838e-21
626.0630315157579,5.2554322846983545e-20
