Wavenumber_cm^-1,Absorbance
4992.511233150274,0.10072681268239618
4980.707230542494,0.10072681268239618
4968.958913666326,0.10072681268239618
4957.265889400423,0.10072681268239618
4945.627768315144,0.10072681268239618
4934.0441646293175,0.10017949757290372
4922.5146961676255,0.10017949757290372
4911.038984318561,0.09963287134352969
4899.616653992991,0.09963287134352969
4888.247333583286,0.09854167860388763
4876.930654923017,0.09854167860388763
4865.666253247224,0.09854167860388763
4854.4537671532125,0.09854167860388763
4843.29283856191,0.09854167860388763
4832.183112679745,0.09854167860388763
4821.12423796105,0.09799710864927055
4810.115866070982,0.09799710864927055
4799.157651848947,0.09799710864927055
4788.249253272528,0.09799710864927055
4777.390331421899,0.09799710864927055
4766.580550444723,0.09799710864927055
4755.819577521524,0.09854167860388763
4745.107082831538,0.09854167860388763
4734.442739519009,0.09854167860388763
4723.826223659945,0.09854167860388763
4713.257214229323,0.09963287134352969
4702.735393068731,0.09963287134352969
4692.260444854443,0.10072681268239618
4681.832057065914,0.10127481841050648
4671.449919954705,0.10127481841050648
4661.113726513813,0.10127481841050648
4650.823172447407,0.10072681268239618
4640.577956140969,0.10017949757290372
4630.377778631825,0.09963287134352969
4620.2223435800615,0.09854167860388763
4610.1113572398335,0.09799710864927055
4600.044528431035,0.09799710864927055
4590.021568511351,0.09799710864927055
4580.042191348666,0.09799710864927055
4570.106113293844,0.09799710864927055
4560.213053153843,0.09799710864927055
4550.362732165194,0.09799710864927055
4540.554873967818,0.09799710864927055
4530.789204579178,0.09799710864927055
4521.065452368767,0.09745322068600859
4511.383348032924,0.09745322068600859
4501.742624569971,0.09745322068600859
4492.143017255668,0.09745322068600859
4482.584263618987,0.09745322068600859
4473.066103418182,0.09745322068600859
4463.58827861718,0.09691001300805639
4454.150533362255,0.09691001300805639
4444.752613959013,0.09745322068600859
4435.394268849649,0.09745322068600859
4426.075248590516,0.09854167860388763
4416.795305829949,0.10017949757290372
4407.554195286385,0.10072681268239618
4398.351673726754,0.10127481841050648
4389.187499945135,0.10182351650232342
4380.061434741684,0.10347378251044466
4370.973240901819,0.10457745396059209
4361.922683175671,0.10457745396059209
4352.909528257783,0.10457745396059209
4343.933544767058,0.10513034325474745
4334.99450322697,0.10513034325474745
4326.092176045994,0.10457745396059209
4317.226337498305,0.10402526764093542
